query,style,event,budget
find pink blazer for daily wear with a mid budget and ethnic look,ethnic,daily_wear,mid
recommend casual outfit for office in blue mid range,casual,office,mid
find white dress for wedding with a high budget and streetwear look,streetwear,wedding,high
show me beige jeans in casual style for date night cheap,casual,date_night,low
show me white heels in streetwear style for date night under 3000,streetwear,date_night,low
show me white blazer in streetwear style for daily wear around 6000,streetwear,daily_wear,mid
recommend athleisure outfit for date night in navy cheap,athleisure,date_night,low
need a smart casual heels suitable for beach and quality for price,smart_casual,beach,mid
"looking for streetwear wear for travel, quality for price",streetwear,travel,mid
"looking for formal wear for travel, under 7000",formal,travel,mid
recommend ethnic outfit for beach in black high end,ethnic,beach,high
find red dress for gym with a mid budget and casual look,casual,gym,mid
need a athleisure heels suitable for wedding and premium,athleisure,wedding,high
need a formal dress suitable for gym and under 3000,formal,gym,low
find pink sneakers for office with a low budget and streetwear look,streetwear,office,low
find navy kurta for date night with a high budget and athleisure look,athleisure,date_night,high
show me black kurta in minimal style for beach affordable,minimal,beach,low
need a casual blazer suitable for daily wear and under 15000,casual,daily_wear,high
recommend boho outfit for travel in beige premium,boho,travel,high
"looking for smart casual wear for office, budget friendly",smart_casual,office,low
recommend formal outfit for daily wear in black below 2500,formal,daily_wear,low
recommend smart casual outfit for office in red around 6000,smart_casual,office,mid
recommend minimal outfit for party in green under 15000,minimal,party,high
"looking for casual wear for date night, below 2500",casual,date_night,low
need a boho jeans suitable for date night and high end,boho,date_night,high
find blue heels for beach with a low budget and minimal look,minimal,beach,low
find beige saree for beach with a high budget and minimal look,minimal,beach,high
recommend minimal outfit for party in black designer,minimal,party,high
recommend casual outfit for date night in beige premium,casual,date_night,high
recommend boho outfit for date night in navy luxury,boho,date_night,high
"looking for athleisure wear for party, premium",athleisure,party,high
find white shirt for wedding with a mid budget and boho look,boho,wedding,mid
need a formal jeans suitable for gym and quality for price,formal,gym,mid
recommend formal outfit for daily wear in white under 7000,formal,daily_wear,mid
need a boho blazer suitable for beach and high end,boho,beach,high
need a athleisure jacket suitable for office and under 15000,athleisure,office,high
need a ethnic jeans suitable for gym and under 3000,ethnic,gym,low
need a athleisure heels suitable for date night and under 3000,athleisure,date_night,low
find beige jacket for office with a high budget and streetwear look,streetwear,office,high
"looking for minimal wear for gym, under 3000",minimal,gym,low
need a athleisure blazer suitable for travel and cheap,athleisure,travel,low
need a ethnic dress suitable for beach and under 7000,ethnic,beach,mid
"looking for formal wear for beach, around 6000",formal,beach,mid
need a formal sneakers suitable for travel and around 6000,formal,travel,mid
recommend smart casual outfit for travel in green cheap,smart_casual,travel,low
find blue heels for wedding with a mid budget and boho look,boho,wedding,mid
recommend formal outfit for wedding in navy designer,formal,wedding,high
"looking for formal wear for beach, around 6000",formal,beach,mid
need a smart casual kurta suitable for party and budget friendly,smart_casual,party,low
show me pink shirt in formal style for wedding under 15000,formal,wedding,high
"looking for minimal wear for office, under 15000",minimal,office,high
recommend smart casual outfit for office in blue under 3000,smart_casual,office,low
show me green jacket in formal style for travel designer,formal,travel,high
need a casual sneakers suitable for office and under 7000,casual,office,mid
need a boho saree suitable for wedding and high end,boho,wedding,high
recommend streetwear outfit for wedding in green mid range,streetwear,wedding,mid
find green jeans for party with a high budget and casual look,casual,party,high
need a minimal jeans suitable for gym and budget friendly,minimal,gym,low
find blue sneakers for daily wear with a high budget and smart casual look,smart_casual,daily_wear,high
recommend smart casual outfit for beach in green around 6000,smart_casual,beach,mid
find pink sneakers for travel with a mid budget and formal look,formal,travel,mid
recommend casual outfit for gym in beige mid range,casual,gym,mid
recommend ethnic outfit for beach in black luxury,ethnic,beach,high
"looking for smart casual wear for daily wear, high end",smart_casual,daily_wear,high
need a ethnic shirt suitable for gym and under 3000,ethnic,gym,low
find blue shirt for party with a low budget and casual look,casual,party,low
"looking for formal wear for daily wear, under 7000",formal,daily_wear,mid
"looking for smart casual wear for party, luxury",smart_casual,party,high
need a streetwear blazer suitable for party and budget friendly,streetwear,party,low
"looking for formal wear for office, affordable",formal,office,low
recommend smart casual outfit for beach in green affordable,smart_casual,beach,low
"looking for casual wear for travel, under 3000",casual,travel,low
need a athleisure heels suitable for date night and mid range,athleisure,date_night,mid
"looking for streetwear wear for date night, below 2500",streetwear,date_night,low
"looking for streetwear wear for date night, mid range",streetwear,date_night,mid
recommend minimal outfit for date night in black mid range,minimal,date_night,mid
find blue jeans for office with a mid budget and ethnic look,ethnic,office,mid
need a formal dress suitable for date night and cheap,formal,date_night,low
show me red blazer in athleisure style for wedding around 6000,athleisure,wedding,mid
show me blue jacket in athleisure style for date night budget friendly,athleisure,date_night,low
"looking for smart casual wear for office, under 3000",smart_casual,office,low
need a minimal heels suitable for office and around 6000,minimal,office,mid
"looking for smart casual wear for wedding, high end",smart_casual,wedding,high
"looking for streetwear wear for beach, quality for price",streetwear,beach,mid
"looking for smart casual wear for party, around 6000",smart_casual,party,mid
show me navy saree in athleisure style for daily wear under 15000,athleisure,daily_wear,high
find navy jeans for daily wear with a high budget and streetwear look,streetwear,daily_wear,high
find red dress for wedding with a high budget and smart casual look,smart_casual,wedding,high
show me beige saree in formal style for travel premium,formal,travel,high
need a boho jacket suitable for party and around 6000,boho,party,mid
show me red kurta in minimal style for daily wear budget friendly,minimal,daily_wear,low
find beige blazer for wedding with a mid budget and athleisure look,athleisure,wedding,mid
find navy sneakers for travel with a low budget and minimal look,minimal,travel,low
"looking for minimal wear for gym, high end",minimal,gym,high
need a streetwear dress suitable for date night and high end,streetwear,date_night,high
"looking for boho wear for office, mid range",boho,office,mid
need a formal heels suitable for daily wear and mid range,formal,daily_wear,mid
show me blue heels in formal style for wedding mid range,formal,wedding,mid
find navy kurta for party with a low budget and casual look,casual,party,low
find navy blazer for office with a high budget and athleisure look,athleisure,office,high
"looking for casual wear for party, budget friendly",casual,party,low
need a streetwear dress suitable for date night and affordable,streetwear,date_night,low
show me red sneakers in ethnic style for date night quality for price,ethnic,date_night,mid
show me blue saree in minimal style for party affordable,minimal,party,low
recommend smart casual outfit for gym in black affordable,smart_casual,gym,low
"looking for smart casual wear for beach, under 15000",smart_casual,beach,high
need a ethnic shirt suitable for beach and budget friendly,ethnic,beach,low
find navy dress for daily wear with a low budget and athleisure look,athleisure,daily_wear,low
show me green saree in athleisure style for party under 15000,athleisure,party,high
find blue shirt for daily wear with a high budget and casual look,casual,daily_wear,high
"looking for minimal wear for beach, mid range",minimal,beach,mid
find pink shirt for party with a high budget and boho look,boho,party,high
"looking for casual wear for travel, premium",casual,travel,high
"looking for ethnic wear for date night, below 2500",ethnic,date_night,low
show me blue jacket in streetwear style for beach under 7000,streetwear,beach,mid
"looking for streetwear wear for daily wear, under 3000",streetwear,daily_wear,low
show me white heels in minimal style for beach luxury,minimal,beach,high
show me blue heels in smart casual style for travel under 7000,smart_casual,travel,mid
find black blazer for gym with a high budget and streetwear look,streetwear,gym,high
need a casual blazer suitable for party and under 15000,casual,party,high
show me red jacket in casual style for party cheap,casual,party,low
need a athleisure sneakers suitable for travel and under 3000,athleisure,travel,low
need a ethnic kurta suitable for daily wear and luxury,ethnic,daily_wear,high
show me black saree in streetwear style for beach luxury,streetwear,beach,high
recommend boho outfit for gym in white under 7000,boho,gym,mid
show me beige shirt in casual style for wedding luxury,casual,wedding,high
show me navy blazer in casual style for travel cheap,casual,travel,low
"looking for smart casual wear for daily wear, high end",smart_casual,daily_wear,high
recommend streetwear outfit for party in green budget friendly,streetwear,party,low
find white jeans for wedding with a high budget and boho look,boho,wedding,high
find green shirt for date night with a low budget and formal look,formal,date_night,low
show me beige saree in athleisure style for gym under 15000,athleisure,gym,high
find green shirt for date night with a low budget and smart casual look,smart_casual,date_night,low
need a streetwear blazer suitable for gym and budget friendly,streetwear,gym,low
show me white shirt in formal style for office mid range,formal,office,mid
show me beige heels in casual style for date night around 6000,casual,date_night,mid
recommend casual outfit for travel in green budget friendly,casual,travel,low
need a formal sneakers suitable for date night and budget friendly,formal,date_night,low
find red blazer for office with a high budget and smart casual look,smart_casual,office,high
find blue jeans for wedding with a high budget and streetwear look,streetwear,wedding,high
recommend smart casual outfit for daily wear in beige below 2500,smart_casual,daily_wear,low
show me navy shirt in boho style for gym premium,boho,gym,high
show me white kurta in streetwear style for gym luxury,streetwear,gym,high
show me green blazer in ethnic style for gym around 6000,ethnic,gym,mid
show me white dress in smart casual style for beach cheap,smart_casual,beach,low
need a casual shirt suitable for travel and under 3000,casual,travel,low
show me pink dress in athleisure style for beach under 3000,athleisure,beach,low
find pink sneakers for date night with a mid budget and boho look,boho,date_night,mid
need a casual jeans suitable for party and quality for price,casual,party,mid
find beige jeans for travel with a high budget and streetwear look,streetwear,travel,high
find navy heels for office with a high budget and minimal look,minimal,office,high
find beige shirt for daily wear with a mid budget and formal look,formal,daily_wear,mid
recommend minimal outfit for date night in blue around 6000,minimal,date_night,mid
"looking for athleisure wear for date night, budget friendly",athleisure,date_night,low
need a athleisure jeans suitable for office and under 15000,athleisure,office,high
show me pink blazer in minimal style for party below 2500,minimal,party,low
need a minimal dress suitable for wedding and mid range,minimal,wedding,mid
show me white kurta in formal style for daily wear under 3000,formal,daily_wear,low
find blue jeans for party with a high budget and smart casual look,smart_casual,party,high
"looking for formal wear for gym, high end",formal,gym,high
find red dress for daily wear with a low budget and athleisure look,athleisure,daily_wear,low
recommend smart casual outfit for wedding in beige high end,smart_casual,wedding,high
"looking for casual wear for daily wear, under 3000",casual,daily_wear,low
find red jacket for gym with a high budget and casual look,casual,gym,high
show me navy kurta in athleisure style for daily wear under 7000,athleisure,daily_wear,mid
"looking for ethnic wear for travel, under 3000",ethnic,travel,low
show me blue jacket in ethnic style for gym under 7000,ethnic,gym,mid
recommend ethnic outfit for party in black quality for price,ethnic,party,mid
show me blue jeans in streetwear style for gym premium,streetwear,gym,high
"looking for smart casual wear for daily wear, around 6000",smart_casual,daily_wear,mid
need a minimal shirt suitable for travel and designer,minimal,travel,high
need a casual jacket suitable for beach and cheap,casual,beach,low
find pink dress for date night with a low budget and athleisure look,athleisure,date_night,low
find black jacket for travel with a mid budget and boho look,boho,travel,mid
need a minimal jacket suitable for gym and cheap,minimal,gym,low
recommend streetwear outfit for wedding in pink mid range,streetwear,wedding,mid
show me pink jacket in ethnic style for daily wear under 7000,ethnic,daily_wear,mid
recommend boho outfit for office in pink budget friendly,boho,office,low
recommend ethnic outfit for party in black cheap,ethnic,party,low
show me blue jacket in streetwear style for party under 15000,streetwear,party,high
"looking for smart casual wear for gym, designer",smart_casual,gym,high
"looking for boho wear for travel, budget friendly",boho,travel,low
find black blazer for party with a high budget and boho look,boho,party,high
show me navy jeans in formal style for office under 7000,formal,office,mid
need a athleisure jeans suitable for party and designer,athleisure,party,high
show me blue shirt in minimal style for gym mid range,minimal,gym,mid
recommend streetwear outfit for travel in navy under 3000,streetwear,travel,low
need a formal kurta suitable for party and below 2500,formal,party,low
"looking for streetwear wear for party, under 7000",streetwear,party,mid
show me green jeans in athleisure style for wedding budget friendly,athleisure,wedding,low
need a ethnic kurta suitable for party and luxury,ethnic,party,high
need a streetwear kurta suitable for daily wear and luxury,streetwear,daily_wear,high
"looking for ethnic wear for office, mid range",ethnic,office,mid
"looking for formal wear for travel, designer",formal,travel,high
recommend ethnic outfit for beach in pink quality for price,ethnic,beach,mid
show me navy blazer in athleisure style for travel below 2500,athleisure,travel,low
show me green saree in casual style for date night cheap,casual,date_night,low
show me blue sneakers in minimal style for daily wear affordable,minimal,daily_wear,low
find green blazer for beach with a high budget and minimal look,minimal,beach,high
"looking for athleisure wear for party, affordable",athleisure,party,low
need a streetwear jacket suitable for office and under 7000,streetwear,office,mid
"looking for casual wear for party, mid range",casual,party,mid
recommend formal outfit for beach in navy premium,formal,beach,high
show me black shirt in smart casual style for daily wear affordable,smart_casual,daily_wear,low
need a boho shirt suitable for daily wear and under 15000,boho,daily_wear,high
"looking for boho wear for gym, under 7000",boho,gym,mid
show me blue blazer in casual style for party under 3000,casual,party,low
show me pink shirt in streetwear style for date night under 15000,streetwear,date_night,high
recommend smart casual outfit for office in white high end,smart_casual,office,high
"looking for smart casual wear for wedding, mid range",smart_casual,wedding,mid
"looking for minimal wear for gym, high end",minimal,gym,high
recommend formal outfit for office in green under 7000,formal,office,mid
show me blue sneakers in streetwear style for travel around 6000,streetwear,travel,mid
find green jeans for office with a mid budget and formal look,formal,office,mid
find navy dress for beach with a low budget and ethnic look,ethnic,beach,low
"looking for smart casual wear for travel, luxury",smart_casual,travel,high
need a athleisure shirt suitable for wedding and under 7000,athleisure,wedding,mid
need a smart casual blazer suitable for beach and quality for price,smart_casual,beach,mid
"looking for smart casual wear for wedding, luxury",smart_casual,wedding,high
need a athleisure shirt suitable for beach and under 7000,athleisure,beach,mid
show me navy shirt in streetwear style for gym high end,streetwear,gym,high
need a casual sneakers suitable for gym and under 3000,casual,gym,low
recommend ethnic outfit for daily wear in red designer,ethnic,daily_wear,high
"looking for boho wear for beach, cheap",boho,beach,low
show me green sneakers in athleisure style for beach under 7000,athleisure,beach,mid
show me green jacket in ethnic style for daily wear luxury,ethnic,daily_wear,high
show me white jacket in ethnic style for wedding under 3000,ethnic,wedding,low
find beige heels for travel with a mid budget and smart casual look,smart_casual,travel,mid
find black blazer for party with a low budget and ethnic look,ethnic,party,low
show me red blazer in athleisure style for gym luxury,athleisure,gym,high
recommend minimal outfit for wedding in blue below 2500,minimal,wedding,low
show me green blazer in smart casual style for office mid range,smart_casual,office,mid
recommend formal outfit for party in blue mid range,formal,party,mid
recommend casual outfit for party in black affordable,casual,party,low
find red shirt for gym with a low budget and smart casual look,smart_casual,gym,low
show me green saree in minimal style for travel luxury,minimal,travel,high
"looking for casual wear for wedding, premium",casual,wedding,high
find red heels for date night with a high budget and smart casual look,smart_casual,date_night,high
"looking for formal wear for daily wear, premium",formal,daily_wear,high
"looking for boho wear for daily wear, designer",boho,daily_wear,high
recommend streetwear outfit for wedding in black under 15000,streetwear,wedding,high
recommend boho outfit for date night in white under 15000,boho,date_night,high
find beige jacket for beach with a mid budget and casual look,casual,beach,mid
show me pink shirt in ethnic style for office affordable,ethnic,office,low
show me pink saree in ethnic style for daily wear budget friendly,ethnic,daily_wear,low
need a athleisure blazer suitable for office and under 3000,athleisure,office,low
find black jacket for beach with a high budget and casual look,casual,beach,high
show me green heels in athleisure style for gym designer,athleisure,gym,high
"looking for ethnic wear for office, under 3000",ethnic,office,low
"looking for streetwear wear for office, mid range",streetwear,office,mid
show me pink sneakers in boho style for date night below 2500,boho,date_night,low
need a smart casual sneakers suitable for party and luxury,smart_casual,party,high
"looking for formal wear for gym, around 6000",formal,gym,mid
need a smart casual blazer suitable for date night and luxury,smart_casual,date_night,high
need a formal jacket suitable for gym and around 6000,formal,gym,mid
"looking for ethnic wear for gym, around 6000",ethnic,gym,mid
show me beige saree in streetwear style for gym budget friendly,streetwear,gym,low
need a streetwear sneakers suitable for office and around 6000,streetwear,office,mid
need a smart casual dress suitable for wedding and luxury,smart_casual,wedding,high
need a formal jacket suitable for wedding and below 2500,formal,wedding,low
show me pink blazer in boho style for daily wear under 3000,boho,daily_wear,low
"looking for ethnic wear for wedding, under 3000",ethnic,wedding,low
find navy saree for beach with a low budget and minimal look,minimal,beach,low
find pink jeans for party with a low budget and ethnic look,ethnic,party,low
find blue sneakers for party with a mid budget and smart casual look,smart_casual,party,mid
need a ethnic blazer suitable for daily wear and budget friendly,ethnic,daily_wear,low
"looking for athleisure wear for beach, around 6000",athleisure,beach,mid
show me white shirt in casual style for date night high end,casual,date_night,high
find beige heels for daily wear with a mid budget and formal look,formal,daily_wear,mid
show me black dress in ethnic style for party mid range,ethnic,party,mid
need a casual jeans suitable for wedding and under 15000,casual,wedding,high
need a athleisure shirt suitable for travel and affordable,athleisure,travel,low
"looking for smart casual wear for daily wear, high end",smart_casual,daily_wear,high
"looking for streetwear wear for beach, designer",streetwear,beach,high
find navy heels for party with a mid budget and casual look,casual,party,mid
show me white jeans in smart casual style for wedding high end,smart_casual,wedding,high
recommend formal outfit for office in beige budget friendly,formal,office,low
show me green sneakers in casual style for gym quality for price,casual,gym,mid
recommend streetwear outfit for beach in white under 15000,streetwear,beach,high
need a smart casual dress suitable for travel and high end,smart_casual,travel,high
find red heels for wedding with a high budget and streetwear look,streetwear,wedding,high
find black jeans for date night with a low budget and streetwear look,streetwear,date_night,low
find navy dress for wedding with a high budget and athleisure look,athleisure,wedding,high
recommend athleisure outfit for party in beige affordable,athleisure,party,low
need a boho saree suitable for beach and designer,boho,beach,high
need a ethnic sneakers suitable for date night and budget friendly,ethnic,date_night,low
need a boho sneakers suitable for travel and affordable,boho,travel,low
recommend minimal outfit for wedding in pink around 6000,minimal,wedding,mid
show me black jeans in minimal style for travel designer,minimal,travel,high
show me pink heels in casual style for gym under 7000,casual,gym,mid
recommend streetwear outfit for daily wear in pink quality for price,streetwear,daily_wear,mid
need a athleisure kurta suitable for date night and under 15000,athleisure,date_night,high
find white jacket for gym with a high budget and minimal look,minimal,gym,high
recommend formal outfit for daily wear in pink designer,formal,daily_wear,high
need a casual sneakers suitable for wedding and around 6000,casual,wedding,mid
show me green saree in streetwear style for beach around 6000,streetwear,beach,mid
"looking for boho wear for office, quality for price",boho,office,mid
recommend athleisure outfit for date night in white around 6000,athleisure,date_night,mid
find navy sneakers for travel with a high budget and streetwear look,streetwear,travel,high
find pink saree for party with a mid budget and boho look,boho,party,mid
"looking for athleisure wear for beach, budget friendly",athleisure,beach,low
recommend smart casual outfit for daily wear in green under 7000,smart_casual,daily_wear,mid
"looking for ethnic wear for office, under 7000",ethnic,office,mid
need a formal heels suitable for beach and mid range,formal,beach,mid
find white kurta for daily wear with a high budget and boho look,boho,daily_wear,high
find black kurta for travel with a high budget and boho look,boho,travel,high
need a smart casual jeans suitable for daily wear and high end,smart_casual,daily_wear,high
find pink jacket for office with a low budget and ethnic look,ethnic,office,low
show me red shirt in streetwear style for beach mid range,streetwear,beach,mid
show me white heels in streetwear style for daily wear designer,streetwear,daily_wear,high
find black shirt for office with a low budget and boho look,boho,office,low
need a smart casual kurta suitable for party and around 6000,smart_casual,party,mid
recommend smart casual outfit for travel in white under 7000,smart_casual,travel,mid
recommend ethnic outfit for travel in red high end,ethnic,travel,high
recommend casual outfit for office in white premium,casual,office,high
find black sneakers for beach with a low budget and boho look,boho,beach,low
"looking for athleisure wear for daily wear, high end",athleisure,daily_wear,high
"looking for athleisure wear for date night, around 6000",athleisure,date_night,mid
find white jeans for daily wear with a low budget and streetwear look,streetwear,daily_wear,low
show me red dress in minimal style for daily wear under 7000,minimal,daily_wear,mid
need a smart casual jeans suitable for daily wear and around 6000,smart_casual,daily_wear,mid
need a athleisure sneakers suitable for travel and under 3000,athleisure,travel,low
find black kurta for gym with a mid budget and smart casual look,smart_casual,gym,mid
recommend boho outfit for office in beige luxury,boho,office,high
recommend formal outfit for wedding in navy budget friendly,formal,wedding,low
find black dress for date night with a mid budget and minimal look,minimal,date_night,mid
show me blue shirt in ethnic style for daily wear affordable,ethnic,daily_wear,low
find white sneakers for office with a low budget and smart casual look,smart_casual,office,low
"looking for streetwear wear for date night, under 3000",streetwear,date_night,low
need a streetwear heels suitable for office and budget friendly,streetwear,office,low
"looking for smart casual wear for office, under 3000",smart_casual,office,low
find white sneakers for party with a high budget and athleisure look,athleisure,party,high
recommend boho outfit for travel in green cheap,boho,travel,low
need a athleisure heels suitable for office and high end,athleisure,office,high
recommend streetwear outfit for wedding in red high end,streetwear,wedding,high
"looking for smart casual wear for date night, luxury",smart_casual,date_night,high
show me blue saree in streetwear style for party mid range,streetwear,party,mid
show me pink kurta in ethnic style for beach around 6000,ethnic,beach,mid
"looking for boho wear for daily wear, under 15000",boho,daily_wear,high
"looking for smart casual wear for date night, under 15000",smart_casual,date_night,high
recommend ethnic outfit for date night in black high end,ethnic,date_night,high
need a athleisure blazer suitable for date night and quality for price,athleisure,date_night,mid
show me green saree in minimal style for daily wear high end,minimal,daily_wear,high
need a formal shirt suitable for office and mid range,formal,office,mid
show me blue dress in athleisure style for travel below 2500,athleisure,travel,low
"looking for ethnic wear for party, under 7000",ethnic,party,mid
need a streetwear saree suitable for gym and cheap,streetwear,gym,low
show me pink dress in boho style for daily wear quality for price,boho,daily_wear,mid
"looking for athleisure wear for wedding, quality for price",athleisure,wedding,mid
recommend boho outfit for date night in black affordable,boho,date_night,low
need a athleisure jeans suitable for office and around 6000,athleisure,office,mid
recommend streetwear outfit for date night in pink mid range,streetwear,date_night,mid
show me red jacket in casual style for beach premium,casual,beach,high
need a formal blazer suitable for wedding and below 2500,formal,wedding,low
show me navy shirt in formal style for date night budget friendly,formal,date_night,low
recommend streetwear outfit for wedding in red luxury,streetwear,wedding,high
recommend casual outfit for gym in red designer,casual,gym,high
need a athleisure blazer suitable for wedding and cheap,athleisure,wedding,low
"looking for minimal wear for wedding, luxury",minimal,wedding,high
need a casual blazer suitable for daily wear and quality for price,casual,daily_wear,mid
need a streetwear blazer suitable for beach and under 3000,streetwear,beach,low
need a streetwear saree suitable for daily wear and affordable,streetwear,daily_wear,low
find red jacket for travel with a low budget and formal look,formal,travel,low
show me red jeans in formal style for wedding affordable,formal,wedding,low
show me navy sneakers in minimal style for gym designer,minimal,gym,high
"looking for ethnic wear for wedding, affordable",ethnic,wedding,low
show me pink dress in smart casual style for wedding quality for price,smart_casual,wedding,mid
"looking for streetwear wear for wedding, under 3000",streetwear,wedding,low
recommend casual outfit for party in green cheap,casual,party,low
need a minimal dress suitable for party and designer,minimal,party,high
find red jeans for gym with a high budget and streetwear look,streetwear,gym,high
"looking for ethnic wear for office, luxury",ethnic,office,high
recommend formal outfit for travel in red under 15000,formal,travel,high
find black dress for office with a low budget and ethnic look,ethnic,office,low
show me black saree in formal style for party quality for price,formal,party,mid
find blue shirt for gym with a mid budget and athleisure look,athleisure,gym,mid
need a minimal saree suitable for daily wear and below 2500,minimal,daily_wear,low
need a minimal kurta suitable for office and quality for price,minimal,office,mid
"looking for smart casual wear for gym, under 15000",smart_casual,gym,high
show me green jeans in smart casual style for office around 6000,smart_casual,office,mid
find blue saree for party with a low budget and casual look,casual,party,low
recommend ethnic outfit for party in blue premium,ethnic,party,high
recommend athleisure outfit for date night in navy luxury,athleisure,date_night,high
need a boho heels suitable for date night and mid range,boho,date_night,mid
show me red dress in casual style for gym cheap,casual,gym,low
show me black saree in casual style for office mid range,casual,office,mid
"looking for casual wear for office, under 3000",casual,office,low
find pink sneakers for wedding with a mid budget and smart casual look,smart_casual,wedding,mid
recommend formal outfit for date night in blue under 7000,formal,date_night,mid
need a streetwear shirt suitable for gym and quality for price,streetwear,gym,mid
recommend streetwear outfit for daily wear in green quality for price,streetwear,daily_wear,mid
find beige shirt for gym with a high budget and boho look,boho,gym,high
recommend minimal outfit for date night in green quality for price,minimal,date_night,mid
need a athleisure shirt suitable for party and premium,athleisure,party,high
"looking for boho wear for travel, high end",boho,travel,high
need a minimal jacket suitable for beach and under 15000,minimal,beach,high
show me blue kurta in ethnic style for wedding high end,ethnic,wedding,high
need a boho sneakers suitable for party and under 3000,boho,party,low
"looking for ethnic wear for wedding, affordable",ethnic,wedding,low
find black saree for travel with a low budget and casual look,casual,travel,low
show me pink sneakers in boho style for gym cheap,boho,gym,low
find pink dress for gym with a high budget and smart casual look,smart_casual,gym,high
"looking for formal wear for party, cheap",formal,party,low
find pink blazer for date night with a high budget and formal look,formal,date_night,high
"looking for smart casual wear for travel, below 2500",smart_casual,travel,low
find white saree for travel with a mid budget and minimal look,minimal,travel,mid
show me navy heels in ethnic style for travel premium,ethnic,travel,high
recommend smart casual outfit for office in green under 7000,smart_casual,office,mid
"looking for streetwear wear for date night, under 3000",streetwear,date_night,low
show me white blazer in streetwear style for beach affordable,streetwear,beach,low
find white sneakers for daily wear with a low budget and athleisure look,athleisure,daily_wear,low
show me blue jacket in formal style for office cheap,formal,office,low
recommend smart casual outfit for date night in white under 15000,smart_casual,date_night,high
"looking for casual wear for date night, mid range",casual,date_night,mid
find blue shirt for travel with a mid budget and minimal look,minimal,travel,mid
find white kurta for travel with a low budget and boho look,boho,travel,low
"looking for athleisure wear for travel, designer",athleisure,travel,high
"looking for streetwear wear for wedding, mid range",streetwear,wedding,mid
"looking for ethnic wear for beach, budget friendly",ethnic,beach,low
"looking for streetwear wear for party, around 6000",streetwear,party,mid
find green saree for daily wear with a low budget and formal look,formal,daily_wear,low
find blue blazer for date night with a high budget and ethnic look,ethnic,date_night,high
"looking for athleisure wear for office, quality for price",athleisure,office,mid
recommend smart casual outfit for gym in red premium,smart_casual,gym,high
need a minimal saree suitable for date night and cheap,minimal,date_night,low
need a formal saree suitable for party and under 15000,formal,party,high
need a minimal jacket suitable for travel and quality for price,minimal,travel,mid
recommend minimal outfit for gym in pink quality for price,minimal,gym,mid
need a formal sneakers suitable for beach and luxury,formal,beach,high
recommend athleisure outfit for party in black premium,athleisure,party,high
show me navy heels in minimal style for daily wear cheap,minimal,daily_wear,low
recommend minimal outfit for travel in pink under 7000,minimal,travel,mid
show me white sneakers in casual style for daily wear mid range,casual,daily_wear,mid
recommend boho outfit for date night in beige around 6000,boho,date_night,mid
"looking for boho wear for party, cheap",boho,party,low
need a smart casual dress suitable for party and under 15000,smart_casual,party,high
find red heels for date night with a mid budget and formal look,formal,date_night,mid
"looking for formal wear for date night, designer",formal,date_night,high
"looking for streetwear wear for travel, quality for price",streetwear,travel,mid
show me green heels in formal style for office quality for price,formal,office,mid
show me navy kurta in casual style for date night luxury,casual,date_night,high
find black blazer for date night with a high budget and boho look,boho,date_night,high
find black sneakers for party with a mid budget and streetwear look,streetwear,party,mid
find blue shirt for wedding with a mid budget and boho look,boho,wedding,mid
recommend streetwear outfit for beach in navy below 2500,streetwear,beach,low
find green jacket for office with a mid budget and minimal look,minimal,office,mid
need a boho jeans suitable for office and under 7000,boho,office,mid
recommend smart casual outfit for daily wear in navy cheap,smart_casual,daily_wear,low
"looking for boho wear for daily wear, under 15000",boho,daily_wear,high
"looking for smart casual wear for wedding, mid range",smart_casual,wedding,mid
recommend formal outfit for travel in beige under 3000,formal,travel,low
find pink shirt for gym with a low budget and casual look,casual,gym,low
need a casual sneakers suitable for gym and designer,casual,gym,high
recommend minimal outfit for office in blue mid range,minimal,office,mid
show me white blazer in athleisure style for party cheap,athleisure,party,low
recommend casual outfit for wedding in white affordable,casual,wedding,low
recommend casual outfit for party in navy cheap,casual,party,low
"looking for streetwear wear for party, mid range",streetwear,party,mid
"looking for minimal wear for gym, quality for price",minimal,gym,mid
show me red blazer in formal style for party premium,formal,party,high
recommend athleisure outfit for daily wear in green under 15000,athleisure,daily_wear,high
"looking for streetwear wear for party, around 6000",streetwear,party,mid
"looking for boho wear for wedding, cheap",boho,wedding,low
"looking for smart casual wear for daily wear, under 7000",smart_casual,daily_wear,mid
find beige kurta for wedding with a high budget and minimal look,minimal,wedding,high
"looking for smart casual wear for office, under 15000",smart_casual,office,high
find pink sneakers for office with a high budget and formal look,formal,office,high
recommend streetwear outfit for wedding in white designer,streetwear,wedding,high
show me green shirt in athleisure style for beach affordable,athleisure,beach,low
show me navy saree in boho style for wedding luxury,boho,wedding,high
recommend minimal outfit for beach in blue under 15000,minimal,beach,high
show me black heels in formal style for beach luxury,formal,beach,high
"looking for boho wear for party, under 3000",boho,party,low
need a casual blazer suitable for date night and affordable,casual,date_night,low
"looking for casual wear for beach, designer",casual,beach,high
recommend smart casual outfit for party in black cheap,smart_casual,party,low
find black jeans for wedding with a mid budget and smart casual look,smart_casual,wedding,mid
recommend ethnic outfit for travel in red around 6000,ethnic,travel,mid
find beige dress for travel with a high budget and ethnic look,ethnic,travel,high
recommend casual outfit for date night in white mid range,casual,date_night,mid
find white blazer for gym with a high budget and casual look,casual,gym,high
